"Date","Price","Open","High","Low","Vol.","Change %"
"2022- 10- 03","193,500","193,500","193,500","193,500","","0.00%"
"2022- 09- 30","193,500","191,500","198,000","190,500","911.23K","-1.53%"
"2022- 09- 29","196,500","203,000","205,000","196,000","606.60K","-2.00%"
"2022- 09- 28","200,500","202,500","203,500","198,000","568.78K","-1.96%"
"2022- 09- 27","204,500","202,500","206,000","199,000","637.08K","0.00%"
"2022- 09- 26","204,500","205,500","208,000","204,000","508.53K","-2.85%"
"2022- 09- 25","210,500","210,500","210,500","210,500","","0.00%"
"2022- 09- 23","210,500","207,500","212,500","207,500","574.89K","1.94%"
"2022- 09- 22","206,500","207,500","209,500","204,000","687.26K","-3.05%"
"2022- 09- 21","213,000","216,500","217,000","212,000","490.91K","-2.29%"
"2022- 09- 20","218,000","220,500","222,000","218,000","237.97K","0.00%"
"2022- 09- 19","218,000","219,500","221,000","217,000","480.05K","-0.91%"
"2022- 09- 18","220,000","220,000","220,000","220,000","","0.00%"
"2022- 09- 16","220,000","221,500","223,000","219,500","766.67K","-2.44%"
"2022- 09- 15","225,500","231,000","231,000","225,500","473.98K","-1.96%"
"2022- 09- 14","230,000","228,500","231,000","226,000","547.34K","-3.56%"
"2022- 09- 13","238,500","236,000","239,500","235,500","509.64K","3.02%"
"2022- 09- 08","231,500","233,000","234,500","228,500","536.68K","0.00%"
"2022- 09- 07","231,500","233,500","233,500","228,000","478.66K","-1.49%"
"2022- 09- 06","235,000","237,500","237,500","233,500","236.70K","-0.42%"
"2022- 09- 05","236,000","233,500","238,000","233,500","235.68K","0.85%"
"2022- 09- 04","234,000","234,000","234,000","234,000","","0.00%"
"2022- 09- 02","234,000","237,500","239,000","232,500","372.28K","-0.85%"
"2022- 09- 01","236,000","236,000","238,000","233,000","409.65K","-1.67%"
"2022- 08- 31","240,000","234,500","240,500","232,500","400.49K","0.84%"
"2022- 08- 30","238,000","234,500","239,500","234,500","304.56K","1.71%"
"2022- 08- 29","234,000","232,500","235,500","231,500","572.02K","-3.31%"
"2022- 08- 26","242,000","246,000","246,500","241,500","304.27K","-1.02%"
"2022- 08- 25","244,500","243,000","248,500","242,000","342.88K","1.24%"
"2022- 08- 24","241,500","242,000","243,500","240,500","342.40K","0.21%"
"2022- 08- 23","241,000","243,500","244,500","240,000","396.52K","-1.83%"
"2022- 08- 22","245,500","245,000","247,000","241,500","336.17K","-1.01%"
"2022- 08- 21","248,000","248,000","248,000","248,000","","0.00%"
"2022- 08- 19","248,000","250,500","251,000","246,000","371.00K","-0.80%"
"2022- 08- 18","250,000","254,000","256,000","249,000","698.98K","-3.10%"
"2022- 08- 17","258,000","259,000","260,000","254,500","372.49K","-0.58%"
"2022- 08- 16","259,500","268,500","269,000","258,000","849.05K","-2.26%"
"2022- 08- 15","265,500","265,500","265,500","265,500","","0.00%"
"2022- 08- 12","265,500","267,500","269,500","265,000","392.91K","-0.75%"
"2022- 08- 11","267,500","269,500","271,000","266,000","516.56K","2.10%"
"2022- 08- 10","262,000","262,500","266,000","261,000","316.39K","-1.13%"
"2022- 08- 09","265,000","261,000","267,000","259,500","527.90K","2.51%"
"2022- 08- 08","258,500","261,000","261,500","257,000","935.70K","-3.18%"
"2022- 08- 07","267,000","267,000","267,000","267,000","","0.00%"
"2022- 08- 05","267,000","277,500","281,000","265,500","946.70K","-2.38%"
"2022- 08- 04","273,500","272,500","278,000","271,000","955.43K","1.67%"
"2022- 08- 03","269,000","256,000","271,000","255,000","829.23K","3.86%"
"2022- 08- 02","259,000","260,500","260,500","254,000","482.17K","0.00%"
"2022- 08- 01","259,000","260,500","261,500","256,500","485.05K","0.00%"
"2022- 07- 31","259,000","259,000","259,000","259,000","","0.00%"
"2022- 07- 29","259,000","252,000","262,000","251,500","1.10M","4.86%"
"2022- 07- 28","247,000","251,000","255,000","245,500","560.83K","0.41%"
"2022- 07- 27","246,000","247,500","247,500","241,000","484.58K","0.41%"
"2022- 07- 26","245,000","244,500","245,000","240,500","431.38K","-1.21%"
"2022- 07- 25","248,000","248,000","249,000","244,000","379.66K","-0.80%"
"2022- 07- 24","250,000","250,000","250,000","250,000","","0.00%"
"2022- 07- 22","250,000","250,000","253,500","247,000","464.86K","-0.20%"
"2022- 07- 21","250,500","248,500","256,500","246,500","560.16K","1.83%"
"2022- 07- 20","246,000","251,000","253,500","244,500","631.64K","1.03%"
"2022- 07- 19","243,500","242,500","244,000","240,000","346.83K","-1.22%"
"2022- 07- 18","246,500","234,000","247,000","233,000","985.18K","6.71%"
"2022- 07- 15","231,000","234,500","234,500","228,000","812.77K","-1.07%"
"2022- 07- 14","233,500","232,000","236,000","231,000","609.21K","-1.68%"
"2022- 07- 13","237,500","232,000","239,000","232,000","450.56K","1.71%"
"2022- 07- 12","233,500","236,500","237,500","230,500","599.10K","-2.91%"
"2022- 07- 11","240,500","246,000","248,000","238,500","552.90K","-3.41%"
"2022- 07- 10","249,000","249,000","249,000","249,000","","0.00%"
"2022- 07- 08","249,000","247,000","252,500","246,000","651.00K","1.63%"
"2022- 07- 07","245,000","246,000","249,000","243,000","545.80K","0.62%"
"2022- 07- 06","243,500","240,000","249,500","236,500","874.07K","0.21%"
"2022- 07- 05","243,000","238,500","248,500","237,000","649.98K","3.40%"
"2022- 07- 04","235,000","237,500","240,000","230,500","510.91K","-0.84%"
"2022- 07- 03","237,000","237,000","237,000","237,000","","0.00%"
"2022- 07- 01","237,000","240,000","242,500","233,500","521.49K","-1.25%"
"2022- 06- 30","240,000","241,500","245,000","236,500","643.35K","-2.64%"
"2022- 06- 29","246,500","246,500","249,000","244,500","393.66K","-2.38%"
"2022- 06- 28","252,500","248,500","253,000","246,000","431.84K","1.41%"
"2022- 06- 27","249,000","247,500","253,500","244,500","625.36K","0.61%"
"2022- 06- 24","247,500","238,500","250,000","236,000","989.55K","5.77%"
"2022- 06- 23","234,000","229,000","239,500","229,000","891.70K","2.18%"
"2022- 06- 22","229,000","239,500","239,500","227,000","888.59K","-4.38%"
"2022- 06- 21","239,500","236,000","241,500","234,500","523.65K","2.35%"
"2022- 06- 20","234,000","239,500","241,000","230,000","715.93K","-1.47%"
"2022- 06- 19","237,500","237,500","237,500","237,500","","0.00%"
"2022- 06- 17","237,500","232,500","241,500","232,500","952.83K","-1.04%"
"2022- 06- 16","240,000","249,000","251,000","239,500","729.04K","-1.84%"
"2022- 06- 15","244,500","250,000","252,000","241,500","748.61K","-3.36%"
"2022- 06- 14","253,000","246,000","255,500","245,000","721.55K","-0.39%"
"2022- 06- 13","254,000","262,000","263,000","254,000","921.57K","-5.93%"
"2022- 06- 12","270,000","270,000","270,000","270,000","","0.00%"
"2022- 06- 10","270,000","269,000","274,500","268,500","495.31K","-1.10%"
"2022- 06- 09","273,000","275,500","277,500","269,000","751.77K","-1.80%"
"2022- 06- 08","278,000","279,500","280,000","274,500","399.77K","0.00%"
"2022- 06- 07","278,000","282,500","284,000","276,000","658.16K","-3.30%"
"2022- 06- 06","287,500","287,500","287,500","287,500","","0.00%"
"2022- 06- 03","287,500","293,500","294,500","286,000","468.41K","-0.86%"
"2022- 06- 02","290,000","290,500","291,000","284,000","606.23K","0.69%"
"2022- 06- 01","288,000","288,000","288,000","288,000","","0.00%"
"2022- 05- 31","288,000","281,500","289,500","277,500","1.51M","2.49%"
"2022- 05- 30","281,000","274,000","282,500","273,500","747.70K","4.07%"
"2022- 05- 27","270,000","271,000","272,000","268,500","445.44K","1.50%"
"2022- 05- 26","266,000","269,500","272,500","266,000","518.40K","0.00%"
